year,GPP_NT_VUT_REF_sum,NEE_VUT_REF_QC_mean,P_F_sum,P_F_QC_mean,P_ERA_sum,P_F_jfmam_sum,P_F_QC_jfmam_mean,P_ERA_jfmam_sum,TA_F_mean,TA_F_QC_mean,TA_ERA_mean,PPFD_IN_mean,PPFD_IN_QC_mean,SW_IN_F_mean,SW_IN_F_QC_mean,SW_IN_ERA_mean,VPD_F_mean,VPD_F_QC_mean,VPD_ERA_mean,NETRAD_mean,NETRAD_QC_mean,G_F_MDS_mean,G_F_MDS_QC_mean,LE_F_MDS_mean,LE_F_MDS_QC_mean,LE_CORR_mean,H_F_MDS_mean,H_F_MDS_QC_mean,H_CORR_mean,SWC_F_MDS_1_mean,SWC_F_MDS_1_QC_mean,SITE_ID,keep_year,season,PDSI_mean
2006,408.39662,0.868432848,347.531,1,279.597,453.225,1,383.206,6.411456522,0.885416587,6.601836957,273.7605864,0.858469203,137.6032717,0.886095891,150.6749674,2.596554348,0.883604772,2.679793478,94.31424751,0.84057971,1.634697391,0.804347924,21.07854946,0.875453054,28.58375326,36.67698804,0.879302783,52.5927913,26.16423913,0.811141304,BE-Vie,TRUE,Spring,-1.54
2007,548.64751,0.858469272,205.145,1,199.561,483.522,1,412.696,9.781380435,0.955389717,9.861358696,314.9520428,0.946331522,167.6654565,0.955842587,171.1536087,4.399141304,0.955389717,4.410043478,101.4771374,0.948822464,1.451125837,0.954936652,32.17025978,0.899004,40.18716304,52.90502826,0.924366261,62.94477065,36.12479348,0.955389717,BE-Vie,TRUE,Spring,-0.576666667
2008,492.27634,0.922554272,327.95,1,276.796,484.178,1,416.352,7.674,0.959465478,7.818271739,274.2524207,0.911458333,150.9412717,0.939085,156.4154891,3.176152174,0.959012609,3.458717391,92.57416247,0.943161232,0.988455533,0.959012609,26.03824783,0.944746283,33.02899239,47.41520641,0.949728043,57.95249891,38.78497826,0.959465478,BE-Vie,TRUE,Spring,0.683333333
2009,595.7464,0.223505283,251.518,1,241.086,365.408,1,377.366,8.65998913,0.200860457,8.717271739,NA,0,150.9778913,0.195425685,153.428913,3.431902174,0.200634022,3.264771739,NA,NA,-0.410292327,0.200634022,33.07078587,0.197463935,43.38593152,48.87252707,0.260869684,65.1434337,37.90452174,0.200860457,BE-Vie,FALSE,Spring,-1.346666667
2010,481.84848,0.945199359,147.752,1,161.766,307.844,1,299.482,6.879706522,1,6.649902174,294.2743263,0.987771739,149.0647174,0.995470967,158.6010543,3.242771739,1,3.179152174,92.18387681,1,0.826644475,1,33.25652609,0.997056087,37.55956196,49.47404783,0.955615826,55.14227935,36.03129348,1,BE-Vie,TRUE,Spring,-1.916666667
2011,629.4174,0.881340239,70.917,0.999773565,85.55,200.96,0.99986204,240.475,10.27792391,1,9.790391304,377.2851767,0.992527174,185.6079783,1,183.2162935,5.259076087,1,5.20375,105.3328804,1,0.955851359,0.99954713,40.22961196,0.973505598,40.76409565,63.17050543,0.996377109,63.65546739,34.98718478,0.99954713,BE-Vie,TRUE,Spring,-2.636666667
2012,534.80396,0.945652098,156.397,1,209.408,278.887,0.997807066,380.691,8.914978261,1,8.614532609,307.1599501,0.994112319,151.7826196,0.998641261,158.6126087,3.518565217,1,3.32475,92.25035654,0.999320652,0.992822946,1,39.41283478,0.996603543,40.81840435,48.74596522,0.998867957,50.60066522,35.41630435,1,BE-Vie,TRUE,Spring,-3.083333333
2013,406.50011,0.772645152,130.976,0.998867826,200.947,197.675,0.999310199,319.955,5.422467391,0.850543609,5.345554348,NA,0.65307971,137.033337,0.839900228,142.2629783,2.463945652,0.843749891,2.516130435,89.38505248,0.841485507,0.861135872,0.995471098,28.09626739,0.77649463,31.39632717,50.30997609,0.920289652,57.69153152,36.56343478,0.995697402,BE-Vie,TRUE,Spring,-0.44
2014,532.48387,0.895833163,90.514,1,146.54,211.014,1,284.86,9.623586957,1,9.149043478,313.912666,0.966485507,156.227913,0.99954713,164.3315652,4.028413043,0.999094261,3.739184783,81.8917187,0.999773551,0.504002326,0.917119478,34.48992935,0.983695565,38.29012609,44.5008163,0.989356696,49.31064783,35.25302174,0.917572348,BE-Vie,TRUE,Spring,-2.77
2015,509.70335,0.887907402,128.61,0.88020825,167.826,238.81,0.927014298,324.61,7.918706522,1,7.582652174,NA,0.387907609,167.9707609,0.871150522,159.3823587,3.831880435,1,3.374934783,102.0391237,0.999094203,1.040428033,1,33.38472283,0.941802891,46.68604565,40.21947609,0.980298761,54.57550543,25.57377174,1,BE-Vie,TRUE,Spring,-1.263333333
