SITE_ID,SITE_NAME,SOURCE,FLUXNET-CH4,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP,Climate,Climate Source,Notes1,Keep,START,END,Duration,SPRING,SUMMER,FALL,Notes2,min_dist_m,CRU_Aridity_P_PET,CRU_P_Annual_Mean_Total_mm,CRU_PET_Annual_Mean_Total_mm
SE-Htm,Hyltemossa,ICOS-2020,NA,56.09763,13.41897,115,ENF,7.4,707,Cfb,ICOS,NA,Y,2015,2020,6,NA,NA,NA,all looks good,19911.10449,1.378073862,819.8666817,594.9366751
SE-Nor,Norunda,ICOS-2020,NA,60.0865,17.479504,45,ENF,5.65,544.2,Dfb,ICOS,NA,Y,2014,2020,7,NA,NA,NA,all looks good,22174.00016,1.094999503,584.2333442,533.5466753
SE-Ros,Rosinedal-3,ICOS-2020,NA,64.1725,19.738,157,ENF,1.8,614,Dfc,Rubel,http://www.europe-fluxdata.eu/home/site-details?id=SE-Ros,Y,2014,2020,7,c(2014),c(2014),NA,low NEE QC in early 2014 but otherwise good,8637.150719,1.441775963,653.3600102,453.1633394
SE-Svb,Svartberget,ICOS-2020,NA,64.25611,19.7745,267,ENF,1.8,614,Dfc,ICOS,NA,Y,2014,2020,7,c(2017),c(2017),"c(2014, 2017)",2017 is flat,1364.576592,1.441775963,653.3600102,453.1633394
US-Bar,Bartlett Experimental Forest,OneFlux,NA,44.0646,-71.2881,272,DBF,5.61,1245.77,Dfb,AmeriFlux,NA,Y,2004,2017,14,NA,NA,NA,all spring summer fall data for GPP looks good,20838.42167,2.349836207,1492.083358,634.9733454
US-Blo,Blodgett Forest,FLUXNET2015,NA,38.8953,-120.6328,1315,ENF,11.09,1226,Csa,AmeriFlux,NA,Y,1997,2007,11,1997:1999,c(2007),c(1997),NA,19082.02442,0.706953116,974.6833465,1378.710023
US-Dk2,Duke Forest-hardwoods,OneFlux,NA,35.9736,-79.1004,168,DBF,14.36,1168.69,Cfa,AmeriFlux,NA,Y,2001,2008,8,c(2001),NA,NA,spring 2001 is too high but all others are good,28282.97478,1.064364985,1188.030023,1116.186684
US-Dk3,Duke Forest - loblolly pine,OneFlux,NA,35.9782,-79.0942,163,ENF,14.36,1169.69,Cfa,AmeriFlux,NA,Y,2001,2008,8,c(2001),NA,NA,spring 2001 is too high but all others are good,28999.80188,1.064364985,1188.030023,1116.186684
US-Fmf,Flagstaff - Managed Forest,OneFlux,NA,35.1426,-111.7273,2160,ENF,9.5,546,Csb,AmeriFlux,NA,Y,2005,2010,6,c(2005),c(2005),NA,looks good for 5 years,12119.17622,0.38625678,514.2700098,1331.420021
US-Fuf,Flagstaff - Unmanaged Forest,OneFlux,NA,35.089,-111.762,2180,ENF,8.7,562,Csb,AmeriFlux,NA,Y,2005,2010,6,c(2005),c(2005),c(2005),2005 looks problematic other years are OK,17935.60939,0.38625678,514.2700098,1331.420021
